Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,Alewife,Clairo,Immunity,2019,Alternative,0:03:33,375
2,Opalite,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:55,106
3,Don't Know What To Do,BLACKPINK,KILL THIS LOVE - EP,2019,K-Pop,0:03:21,75
4,Sexistential,Robyn,Sexistential,2026,Pop,0:02:20,53
5,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,Pop,0:03:17,124
6,decode,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:03:08,53
7,Relationships,HAIM,I quit,2025,Alternative,0:03:22,32
8,White Feather Hawk Tail Deer Hunter,Lana Del Rey,White Feather Hawk Tail Deer Hunter - Single,2026,Country,0:03:54,37
9,Dying for You,Charli xcx,Wuthering Heights,2026,Pop,0:03:02,32
10,Times Like These,Addison Rae,Addison,2025,Pop,0:03:52,51
11,Vicious,Sabrina Carpenter,emails i can’t send fwd:,2022,Pop,0:02:29,36
12,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025,Pop,0:03:46,79
13,New York,Addison Rae,Addison,2025,Pop,0:02:32,90
14,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,74
15,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:07,48
16,Shlut,Shygirl,Nymph,2022,Electronica,0:02:12,25
17,Western Nights,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:06:05,36
18,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,GIỮA MỘT VẠN NGƯỜI,2025,Indie Pop,0:03:01,34
19,Quá Muộn,MIN,Dear Min,2025,Pop,0:03:26,85
20,Casual,Chappell Roan,The Rise and Fall of a Midwest Princess,2022,Pop,0:03:52,55
21,Sirens,Cher Lloyd,Sorry I'm Late,2014,Pop,0:03:55,40
22,locket theme,Madison Beer,locket,2026,Pop,0:01:28,17
