Position,Name,Artist,Album,Year,Genre,Time,Plays
1,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,129
2,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,123
3,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,82
4,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,104
5,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,
6,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,71
7,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,78
8,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,129
9,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:36,37
10,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,60
11,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,63
12,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,57
13,Close To You,Gracie Abrams,The Secret of Us,2024,Pop,0:03:45,74
14,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,122
15,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:16,57
16,Shifted,Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:12,56
17,June Gloom,Camila Cabello,"C,XOXO",2024,Pop,0:03:00,54
18,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,116
19,Von dutch,Charli xcx,Von dutch - Single,2024,Dance,0:02:44,
20,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,54
21,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2016,Dance,0:03:23,45
22,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,30
23,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,46
24,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,49
25,Daddy AF,Slayyyter,Slayyyter,2019,Pop,0:02:31,49
26,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,45
27,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,39
28,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,45
29,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,43
30,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:38,41
31,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,39
32,Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:00,42
33,ordinary things (feat. Nonna),Ariana Grande,eternal sunshine,2024,Pop,0:02:48,42
34,the grudge,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:09,20
35,lowkey,NIKI,wanna take this downtown? - EP,2019,R&B/Soul,0:02:51,39
36,BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024,Alternative,0:05:43,33
37,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
38,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,107
39,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,233
40,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,48
41,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,37
42,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,33
43,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,73
44,Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:35,35
