Position,Name,Artist,Album,Year,Genre,Time,Plays
1,June Gloom,Camila Cabello,"C,XOXO",2024,Pop,0:03:00,
2,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,136
3,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,124
4,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,83
5,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,
6,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,107
7,Close To You,Gracie Abrams,The Secret of Us,2024,Pop,0:03:45,
8,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,133
9,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,72
10,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,80
11,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:36,38
12,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,61
13,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,65
14,Thirsty,Tinashe,Quantum Baby,2024,R&B/Soul,0:03:40,70
15,Don’t Smile,Sabrina Carpenter,Short n' Sweet,2024,Pop,0:03:26,57
16,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,58
17,B.O.A.T.,Camila Cabello,"C,XOXO",2024,Pop,0:02:56,
18,My Everything,Ariana Grande,My Everything (Tenth Anniversary Edition),2014,Pop,0:02:48,68
19,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,40
20,Von dutch,Charli xcx,Von dutch - Single,2024,Dance,0:02:44,
21,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,123
22,Shifted,Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:12,58
23,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,116
24,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:16,57
25,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,83
26,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Dance,0:03:23,49
27,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,57
28,Nasty,Tinashe,Nasty - Single,2024,R&B/Soul,0:02:56,
29,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,44
30,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,49
31,LEVII'S JEANS,Beyoncé & Post Malone,COWBOY CARTER,2024,Country,0:04:17,42
32,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,48
33,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,49
34,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,50
35,Daddy AF,Slayyyter,Slayyyter,2019,Pop,0:02:31,50
36,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,45
37,360,Charli xcx,BRAT,2024,Dance,0:02:13,
