Position,Nom,Artiste,Album,Année,Genre,Durée,Lectures
1,June Gloom,Camila Cabello,"C,XOXO",2024,Pop,0:03:00,
2,I'm Coming,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:03:16,138
3,Close To You,Gracie Abrams,The Secret of Us,2024,Pop,0:03:45,
4,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:48,124
5,Really don’t like u (feat. Kylie Minogue),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:45,83
6,I LUV IT,Camila Cabello & Playboi Carti,I LUV IT - Single,2024,Pop,0:02:54,
7,loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:37,107
8,360,Charli xcx,Brat and it’s completely different but also still brat,2024,Dance,0:02:13,47
9,Lavender Haze,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:22,133
10,bad days,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:26,72
11,Are U gonna tell her? (feat. Mc Zaac),Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:02:38,80
12,Thirsty,Tinashe,Quantum Baby,2024,R&B/Soul,0:03:40,74
13,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:02:36,38
14,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:14,61
15,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:58,66
16,"yes, and?",Ariana Grande,eternal sunshine,2024,Pop,0:03:34,45
17,Don’t Smile,Sabrina Carpenter,Short n' Sweet,2024,Pop,0:03:26,58
18,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:42,60
19,B.O.A.T.,Camila Cabello,"C,XOXO",2024,Pop,0:02:56,
20,My Everything,Ariana Grande,My Everything (Tenth Anniversary Edition),2014,Pop,0:02:48,68
21,Shifted,Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Alternative,0:03:12,60
22,Von dutch,Charli xcx,Von dutch - Single,2024,Dance,0:02:44,
23,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,123
24,The Alchemy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:16,57
25,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:06:18,116
26,Needs,Tinashe,BB/ANG3L,2023,R&B/Soul,0:02:26,84
27,Jacques,Jax Jones & Tove Lo,Sunshine Kitty (Paw Prints Edition),2019,Dance,0:03:23,50
28,Lucky,Lucky Twice,Young & Clever,2007,Dance,0:03:25,57
29,Nasty,Tinashe,Nasty - Single,2024,R&B/Soul,0:02:56,
30,the boy is mine,Ariana Grande,eternal sunshine,2024,Pop,0:02:53,44
31,The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:53,49
32,true story,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,49
33,LEVII'S JEANS,Beyoncé & Post Malone,COWBOY CARTER,2024,Country,0:04:17,42
34,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024,Pop,0:03:48,48
35,Risk,Gracie Abrams,The Secret of Us,2024,Pop,0:03:11,
36,Daddy AF,Slayyyter,Slayyyter,2019,Pop,0:02:31,51
37,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:21,46
38,lowkey,NIKI,wanna take this downtown? - EP,2019,R&B/Soul,0:02:51,49
39,"Carolina (""Where The Crawdads Sing"" - Video Edition)",Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,2022,Soundtrack,0:02:43,50
40,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:05,41
41,GODSPEED,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:03:36,48
42,ordinary things (feat. Nonna),Ariana Grande,eternal sunshine,2024,Pop,0:02:48,46
43,Chanel No.5,Camila Cabello,"C,XOXO",2024,Pop,0:02:40,
44,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:38,42
45,Talk talk,Charli xcx,Brat and it’s the same but there’s three more songs so it’s not,2024,Electronic,0:02:41,
46,can friends kiss?,Camila Cabello,"C,XOXO (Magic City Edition)",2024,Pop,0:02:17,48
47,365,Charli xcx,Brat and it’s the same but there’s three more songs so it’s not,2024,Electronic,0:03:23,
48,Robin,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:00,42
49,BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024,Alternative,0:05:43,38
50,Julien,Carly Rae Jepsen,Dedicated,2019,Pop,0:03:54,104
51,Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:35,40
52,the grudge,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:09,22
53,bye,Ariana Grande,eternal sunshine,2024,Pop,0:02:44,38
54,Selfish,Britney Spears,Femme Fatale (Deluxe Version),2011,Pop,0:03:43,235
55,making the bed,Olivia Rodrigo,GUTS,2023,Pop,0:03:18,
56,eternal sunshine,Ariana Grande,eternal sunshine,2024,Pop,0:03:30,34
57,No Broke Boys,Tinashe,Quantum Baby,2024,R&B/Soul,0:02:12,37
58,intro (end of the world),Ariana Grande,eternal sunshine,2024,Pop,0:01:32,38
59,"""Slut!"" (Taylor's Version) [From The Vault]",Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:00,108
60,Kream (feat. Tyga),Iggy Azalea,Survive the Summer - EP,2018,Hip-Hop/Rap,0:02:46,31
61,you broke me first,Tate McRae,you broke me first - Single,2020,Pop,0:02:49,39
62,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:05:14,118
63,Clara Bow,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:36,34
64,pretty isn’t pretty,Olivia Rodrigo,GUTS (spilled),2023,Pop,0:03:19,18
65,Lucky,Halsey,The Great Impersonator,2024,Alternative,0:03:16,31
66,In My Room (feat. Guitarricadelafuente),Troye Sivan,Something To Give Each Other,2023,Pop,0:03:13,49
67,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:02:26,76
68,Not Strong Enough,boygenius,the record,2023,Alternative,0:03:54,63
69,By The End Of The Night,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:08,42
70,Just For You,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:06,160
71,Dade County Dreaming (feat. JT & Yung Miami),Camila Cabello,"C,XOXO",2024,Pop,0:02:39,
72,Peter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:04:43,30
73,Fresh Out The Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:30,29
74,Apple,Charli xcx,Brat and it’s the same but there’s three more songs so it’s not,2024,Electronic,0:02:31,
75,I Never Loved You,Halsey,The Great Impersonator,2024,Alternative,0:04:09,32
76,Am I a Girl?,Poppy,Am I a Girl?,2018,Pop,0:03:37,30
77,Cockiness (Love It),Rihanna,Talk That Talk (Deluxe),2011,Pop,0:02:58,31
78,Lonely is the Muse,Halsey,The Great Impersonator,2024,Alternative,0:04:00,19
79,two years,ROSÉ,rosie,2024,Pop,0:02:47,29
80,supernatural,Ariana Grande,eternal sunshine,2024,Pop,0:02:43,25
81,Passion and Pain Taste the Same When I’m Weak,Tove Lo,Sunshine Kitty (Paw Prints Edition),2020,Alternative,0:04:00,31
82,You Go Your Way,Perrie,You Go Your Way - EP,2024,Pop,0:03:54,31
83,So Right,Carly Rae Jepsen,The Loveliest Time,2023,Pop,0:03:36,56
84,Valentine,Snail Mail,Valentine,2021,Alternative,0:03:16,54
85,But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:05:40,25
86,First Love (Remastered 2014),Hikaru Utada,First Love (Remastered 2014),1999,J-Pop,0:04:17,36
87,Love Goes On,Ellie Goulding,Higher Than Heaven (Deluxe),2023,Pop,0:03:52,31
88,B2b,Charli xcx,BRAT,2024,Dance,0:02:58,
89,Possibly Maybe,Björk,Post,1995,Pop,0:05:05,25
90,Both Sides Now,Emilia Jones,CODA (Soundtrack from the Apple Original Film),2021,Soundtrack,0:04:39,25
91,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024,Alternative,0:04:21,26
92,Fishtail,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,Pop,0:04:02,86
93,Sexy to Someone,Clairo,Charm,2024,Alternative,0:03:27,25
94,Super Graphic Ultra Modern Girl,Chappell Roan,The Rise and Fall of a Midwest Princess,2023,Pop,0:03:03,27
95,Issues,Julia Michaels,Nervous System - EP,2017,Pop,0:02:56,24
96,Be More,Stephen Sanchez,Angel Face,2023,Singer/Songwriter,0:03:51,27
97,Dear Reader,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:03:45,36
98,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023,Pop,0:03:51,104
99,Chloe or Sam or Sophia or Marcus,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024,Pop,0:03:33,23
100,Midnight Rain,Taylor Swift,Midnights (The Til Dawn Edition),2022,Pop,0:02:54,73
