Position,Name,Artist,Album,Year,Genre,Time,Plays
1,Your Best American Girl,Mitski,Puberty 2,2016,Indie Rock,0:03:32,213
2,claws,Charli XCX,how i'm feeling now,2020,Pop,0:02:29,113
3,Used To Know Me,Charli XCX,CRASH,2022,Pop,0:02:25,131
4,Dancing On My Own,Robyn,"Body Talk, Pt. 1",2010,Electronic,0:04:45,90
5,Constant Repeat,Charli XCX,CRASH,2022,Pop,0:03:09,102
6,IN A DREAM,Troye Sivan,In A Dream (2020) - EP,2020,Pop,0:03:49,54
7,A Burning Hill,Mitski,Puberty 2,2016,Indie Rock,0:01:49,174
8,Beg For You (feat. Rina Sawayama),Charli XCX,CRASH,2022,Pop,0:02:48,120
9,Love Me More,Mitski,Laurel Hell,2022,Alternative,0:03:32,138
10,I Bet on Losing Dogs,Mitski,Puberty 2,2016,Indie Rock,0:02:50,58
11,Tears (feat. Caroline Polachek),Charli XCX,Pop 2,2017,Pop,0:04:13,100
12,Lightning,Charli XCX,CRASH,2022,Pop,0:03:57,106
13,Working for the Knife,Mitski,Laurel Hell,2021,Alternative,0:02:38,60
14,New Shapes (feat. Caroline Polachek & Christine and the Queens),Charli XCX,CRASH,2021,Pop,0:03:20,68
15,Heat Lightning,Mitski,Laurel Hell,2021,Alternative,0:02:51,61
16,Baby,Charli XCX,CRASH,2022,Pop,0:02:39,167
17,I Can See the Future,Tinashe,333 (Deluxe),2021,R&B/Soul,0:02:56,39
18,detonate,Charli XCX,how i'm feeling now,2020,Pop,0:03:39,97
19,I Will,Mitski,Bury Me At Makeout Creek,2014,Alternative,0:02:54,74
20,Silver Cross,Charli XCX,Charli,2019,Pop,0:03:28,75
21,Happy,Mitski,Puberty 2,2016,Indie Rock,0:03:40,34
22,Summer Girl (Bonus Track),HAIM,"Women In Music, Pt. III (Expanded Edition)",2019,Alternative,0:03:25,94
23,Yuck,Charli XCX,CRASH,2022,Pop,0:02:18,126
24,Phải Lòng Anh,MIN,50/50,2022,Pop,0:03:47,35
25,White Mustang,Lana Del Rey,Lust for Life,2017,Alternative,0:02:44,246
