Position,Name,Artist,Album,Year,Genre,Time,Plays
1,hey you got drugs?,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:04:18,77
2,American Teenager,Ethel Cain,Preacher’s Daughter,2022,Alternative,0:04:18,194
3,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,,Pop,0:07:13,49
4,Human Being (feat. Zhala),Robyn,Honey,2018,Pop,0:03:46,60
5,I’m to Blame,Tove Lo,Dirt Femme,2022,Pop,0:03:20,50
6,Unwritten,Natasha Bedingfield,Unwritten,2004,Pop,0:04:19,62
7,Yuck,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:18,54
8,Love On Top,Beyoncé,4 (Expanded Edition),2011,Pop,0:04:27,57
9,Honey,Robyn,Honey,2018,Pop,0:04:54,42
10,Boys Like You,ITZY,Boys Like You - Single,2022,Pop,0:03:43,48
11,stranger,Tove Lo,BLUE LIPS (Lady Wood Phase II),2017,Alternative,0:03:54,37
12,sao anh không hiểu?,Phùng Khánh Linh,yesteryear (deluxe),2020,Pop,0:03:20,58
13,You asked for this,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:04:25,32
14,Hot As Ice,Britney Spears,Blackout,2007,Pop,0:03:16,99
15,honey,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:53,30
16,Bloom,Troye Sivan,Bloom,2018,Pop,0:03:42,104
17,Holy (Til You Let Me Go),Rina Sawayama,Hold The Girl,2022,Alternative,0:03:19,109
18,Baby,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:39,24
19,Crash,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:09,27
20,Smoke Signals,Phoebe Bridgers,Stranger in the Alps,2017,Alternative,0:05:24,46
21,Ya'aburnee,Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:03:08,25
22,Shadow,Britney Spears,In the Zone,2003,Pop,0:03:44,152
23,Paris,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:16,44
24,Emotion,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,Pop,0:03:17,73
25,The Happiest Girl,BLACKPINK,BORN PINK,2022,K-Pop,0:03:42,28
26,Always Get This Way,The Aces,I've Loved You For So Long,2023,Alternative,0:02:54,23
27,All Hands On Deck,Tinashe,Aquarius,2014,R&B/Soul,0:03:41,23
28,Constant Repeat,Charli XCX,CRASH (Deluxe),2022,Pop,0:03:09,23
29,King of My Heart,Taylor Swift,reputation,2017,Pop,0:03:34,128
30,Karma,Taylor Swift,Midnights (3am Edition),2022,Pop,0:03:24,77
31,"I am not a woman, I'm a god",Halsey,"If I Can’t Have Love, I Want Power (Extended)",2021,Alternative,0:02:56,21
32,Good Ones,Charli XCX,CRASH (Deluxe),2021,Pop,0:02:16,21
33,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version) [Video Deluxe],2021,Pop,0:04:44,27
34,Frankenstein,Rina Sawayama,Hold The Girl,2022,Alternative,0:03:12,28
35,Move Me,Charli XCX,CRASH (Deluxe),2022,Pop,0:02:27,19
36,Cát Bụi,Hồng Nhung & Quang Dũng,Có Đâu Bao Giờ,2009,Asia,0:04:58,
37,Girls Make Me Wanna Die,The Aces,I've Loved You For So Long,2022,Alternative,0:02:15,20
38,THIQUE,Beyoncé,RENAISSANCE,2022,Pop,0:04:04,42
